feature,domain,routes,modules,components,data_interfaces,data_logic
体育首页/热门赛事,sports_match,/[locale]/sports,modules/home/home-page.tsx; modules/home/sports-page.tsx; modules/match/home/hot-matches,BannerCarousel; MatchFilter; HotMatches; MatchListBase,GetHotMatchesInterface; getBanners; useKycTips,React Query + region/locale queryKey; desktop/mobile offset
滚球赛事,sports_match,/[locale]/sports-live,modules/home/live-page.tsx; modules/match/home/live-matches,LiveMatches; MatchListBase,GetHotMatchesInterface 或 live list handler; useGameSubscription,列表 query + WebSocket 赔率/状态更新
按运动赛事列表,sports_match,/[locale]/sports/[sport_id],modules/match/list; modules/match/sidebar,MatchListContent; TournamentShell; SportItem; Sidebar,GetMenuSportsInterface; GetTopSportsInterface; GetBreadcrumbInterface; SearchMatchesInterface,侧边栏树 store + breadcrumb 回填 + React Query 列表
联赛赛事/冠军盘,sports_match,/[locale]/leagues/[tournament_id]; /outright,modules/match/list; modules/match/outright,TournamentShell; OutrightContent; BetItem,GetTournamentMarketsInterface; GetOutrightMarketsInterface; GetBreadcrumbInterface,tournament_id params + UOF markets
比赛详情与盘口,sports_match,/[locale]/matches/[match_id],modules/match/detail; modules/match/_components; modules/match/_logic,MatchDetail; Card; CardCompact; Filters; Chips; BetItem; StatscoreWidget,GetMatchInterface; GetMarketTabsInterface; GetStatscoreEventIdInterface,React Query match-detail + mergeMatchData + WS observers + market filter
赛事资料/分析,sports_match,/[locale]/test; match-info components,modules/match-info/football; modules/match-info/basketball,MatchDetailTabs; MatchHistoricalStat; MatchLiveWrapper; StatscoreWidget,match-football handlers; match-basketball handlers,sportFetcher 获取足球/篮球分析、阵容、趋势
投注单购物车,bet_slip,全局抽屉/右栏,modules/bet-slip/cart; modules/bet-slip/slip; modules/bet-slip/stores,BetSlipPanel; BetSlipDrawer; SingleStakeCard; ParlayFooter; PlaceBetButton,GetCartInterface; PutCartItemInterface; CreateOrderInterface; PostLocalCartInterface,Zustand slices + query/cache sync + order result handler
赌场大厅,casino,/[locale]/casino/[lobbyId],modules/casino/home; modules/casino/_components,CasinoSidebar; GameSection; GameCard; KeywordFilter; MerchantFilter; TagsFilter,GetCasinoGameLobbiesInterface; GetCasinoGamesInterface; GetCasinoGameTagsInterface; GetCasinoGameMerchantsInterface,lobby_id + filters + React Query
赌场游戏启动,casino,/[locale]/casino/game/[gameCode],modules/casino/game/game-detail-page.tsx,GameDetailPage,LaunchGameInterface,外部游戏 iframe/跳转 + game message hook
促销活动,marketing,/[locale]/sports/promotions; /casino/promotions,modules/marketing/promotion/list; detail; first-deposit-bonus,PromotionCard; PromotionsHeader; HeroSection; TermsSection,GetPromotionsInterface; GetActivePromotionInterface; ValidatePromoCodeInterface,静态活动数据 + API 状态/优惠码校验
充值,account_balance,/[locale]/account/deposit,modules/balance/deposit; app account/deposit-page-client.tsx,Deposit; PromoCodeInput; PromoValidationResult; AccountPageShell,CreateDepositInterface; GetDepositInterface; GetFrontFaqListInterface,React Query FAQ + deposit polling hook
提现,account_balance,/[locale]/account/withdraw,modules/balance/withdraw; app account/withdraw-page-client.tsx,WithdrawForm; FundAccount; AddAccountModal; EnterPasswordModal,CreateWithdrawInterface; GetWithdrawInterface; GetTransferInstrumentTypeInterface; GetListTransferInstrumentInterface,withdraw store + transfer instrument hooks + polling
KYC,account_user_center,/[locale]/account/kyc,modules/user/kyc; app account/kyc-page-client.tsx,KycForm; KycStepChip; KycVerifyResult,CreateKycInterface; GetKycEnabledInterface; GetWebKycUrl,AccountLayout KYC guard + schema validation
账户菜单/权限壳,account_user_center,/[locale]/account/*,modules/user-center/_components; constants/account-routes.ts,AccountPageShell; AccountSidebar; AccountMenuClient,GetProfileInterface; CheckLoginInterface,session-store + ACCOUNT_ROUTES kycRequired + i18n navigation
交易/投注历史,transaction,/[locale]/account/transactions,modules/transaction/transactions; betHistory; balance; transferOrder,TransactionsShell; TransactionsPage; BetHistoryList; BalanceList,GetTransactionsListPageInterface; GetBalanceListPageInterface; GetSportReportInterface; GetCasinoBetHistoryInterface,URL params filters + page/scroll pagination hooks
通知/公告,account_user_center,/[locale]/account/notifications; /announcements,modules/user-center/notification,NotificationCard; ContentContainer; EmptyState; Footer,GetSystemMessagesInterface; GetAnnouncementsInterface; ReadSystemMessagesInterface,unread hook + paginated list + read/delete mutations
安全中心,account_user_center,/[locale]/account/security,modules/security-center,PasswordsForms; NewPasswordInput,GetUserPasswordCheckInterface; SetUserPasswordInterface; SetWalletPasswordInterface,React Hook Form/Zod + account shell
FAQ/客服,account_user_center,/[locale]/account/faq; /support,modules/user-center/faq; support,FAQItem; FAQAccordionItem; LiveChat; Online; Vip,GetFrontFaqListInterface; GetSupportPhoneInterface; GetVipSupportListInterface,userFetcher + i18n content
登录/短信,auth,/[locale]/signin; login modal,modules/user/auth,Signin; PhoneForm; H5Signin; OutlineInput,LoginInterface; SendSmsCodeInterface; CheckNewUserInterface,useSigninForm/usePhoneForm + session-store signIn reload
